Item Code,Item Name,Description,UOM,Rate,Category
PROD-001,Premium Hardwood Flooring,High quality oak hardwood flooring with natural finish,sq ft,150.00,Flooring
PROD-002,Standard Interior Paint,Premium quality interior wall paint in various colors,gallon,45.00,Painting
PROD-003,LED Light Fixture,Energy efficient LED ceiling fixture with modern design,pcs,89.99,Electrical
PROD-004,Stainless Steel Door Handle,Premium stainless steel door handle set,set,25.50,Hardware
PROD-005,Ceramic Floor Tiles,Durable ceramic tiles for floor installation,sq ft,12.75,Flooring
PROD-006,Exterior Paint,Weather-resistant exterior paint for walls,gallon,55.00,Painting
PROD-007,Wall Switch,Standard electrical wall switch with white finish,pcs,8.50,Electrical
PROD-008,Cabinet Hinges,Heavy duty cabinet hinges pack of 10,pack,15.00,Hardware
PROD-009,Laminate Flooring,Waterproof laminate flooring with wood grain texture,sq ft,35.00,Flooring
PROD-010,Primer Paint,High quality primer for walls and ceilings,gallon,30.00,Painting
